FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
591,26104,URN:catalog:CLO:EBIRD:OBS377689518,Brotogeris jugularis,2016-02-07,2016,2,7,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
593,26207,URN:catalog:CLO:EBIRD:OBS628289705,Brotogeris jugularis,2018-06-03,2018,6,3,Colombia,CO,Cesar,Manaure Balcón del Cesar,Camino Sabana Rubia,CO | Cesar | Camino Sabana Rubia,10.3951,-72.9416,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
595,26288,URN:catalog:CLO:EBIRD:OBS752648386,Brotogeris jugularis,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Riohacha,RNSC San Martín - Pozo García,CO | La Guajira | RNSC San Martín - Pozo García,11.1121,-72.9204,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
596,26306,URN:catalog:CLO:EBIRD:OBS327572663,Brotogeris jugularis,2015-06-18,2015,6,18,Colombia,CO,Cesar,Manaure Balcón del Cesar,Finca Adelaida (Cesar),CO | Cesar | Finca Adelaida (Cesar),10.3892,-73.0201,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
599,26496,URN:catalog:CLO:EBIRD:OBS632043783,Brotogeris jugularis,2018-06-05,2018,6,5,Colombia,CO,Cesar,Manaure Balcón del Cesar,Manaure Vereda Canada 1200 - 1600m,CO | Cesar | Manaure Vereda Canada 1200 - 1600m,10.3716,-73.0037,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
600,26505,URN:catalog:CLO:EBIRD:OBS503383222,Brotogeris jugularis,2017-05-20,2017,5,20,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
604,26693,URN:catalog:CLO:EBIRD:OBS636295794,Brotogeris jugularis,2016-07-04,2016,7,4,Colombia,CO,La Guajira,Barrancas,DMI Serranía de Perijá,CO | La Guajira | DMI Serranía de Perijá,10.8886,-72.6173,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
615,27097,URN:catalog:CLO:EBIRD:OBS376680755,Brotogeris jugularis,2016-02-07,2016,2,7,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
617,27107,URN:catalog:CLO:EBIRD:OBS744851569,Brotogeris jugularis,2019-04-01,2019,4,1,Colombia,CO,Cesar,Manaure Balcón del Cesar,Perija - Drive from Manaure to Chamicero Reserve,CO | Cesar | Perija - Drive from Manaure to Chamicero Reserve,10.365,-72.9745,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
622,27438,URN:catalog:CLO:EBIRD:OBS378252605,Brotogeris jugularis,2013-02-11,2013,2,11,Colombia,CO,La Guajira,Riohacha,Vereda La Mesa Corregim. Juan y Medio,CO | La Guajira | Vereda La Mesa Corregim. Juan y Medio,11.1212,-72.9525,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
625,27804,URN:catalog:CLO:EBIRD:OBS752651003,Brotogeris jugularis,2019-05-04,2019,5,4,Colombia,CO,Cesar,Manaure Balcón del Cesar,"(10.3741,-73.0083)","CO | Cesar | (10.3741,-73.0083)",10.3741,-73.0083,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
630,27973,URN:catalog:CLO:EBIRD:OBS477929052,Brotogeris jugularis,2017-03-21,2017,3,21,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
632,28139,URN:catalog:CLO:EBIRD:OBS456967376,Brotogeris jugularis,2017-01-13,2017,1,13,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
