FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
774,34223,URN:catalog:CLO:EBIRD_COL:OBS753440691,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,Cesar,Manaure Balcón del Cesar,Camino a Manaure 2 parada,CO | Cesar | Camino a Manaure 2 parada,10.3622,-73.0075,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
782,34600,URN:catalog:CLO:EBIRD:OBS829870470,Ara militaris,2019-11-18,2019,11,18,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
787,34891,URN:catalog:CLO:EBIRD:OBS563853802,Ara militaris,2018-01-03,2018,1,3,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
798,35385,URN:catalog:CLO:EBIRD:OBS761383653,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Albania,"Montes de Oca, cuenca alta del arroyo Bruno","CO | La Guajira | Montes de Oca, cuenca alta del arroyo Bruno",11.1067,-72.4735,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
802,35462,URN:catalog:CLO:EBIRD:OBS735755468,Ara militaris,2019-04-06,2019,4,6,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Casagrande,CO | Cesar | Vereda Casagrande,10.3914,-73.0108,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
804,35606,URN:catalog:CLO:EBIRD_CAN:OBS536010304,Ara militaris,2017-08-20,2017,8,20,Colombia,CO,La Guajira,La Jagua del Pilar,Roadside Stop on 49,CO | La Guajira | Roadside Stop on 49,10.444,-73.1422,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
806,35616,URN:catalog:CLO:EBIRD:OBS744517030,Ara militaris,2019-02-20,2019,2,20,Colombia,CO,Cesar,Manaure Balcón del Cesar,Just outside Manaure,CO | Cesar | Just outside Manaure,10.3899,-73.0211,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
817,36057,URN:catalog:CLO:EBIRD:OBS831674467,Ara militaris,2019-11-24,2019,11,24,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
824,36359,URN:catalog:CLO:EBIRD:OBS687041681,Ara militaris,2018-11-21,2018,11,21,Colombia,CO,Cesar,Manaure Balcón del Cesar,"(10.3612,-73.0070)","CO | Cesar | (10.3612,-73.0070)",10.3612,-73.007,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
828,36399,URN:catalog:CLO:EBIRD:OBS836950217,Ara militaris,2019-11-19,2019,11,19,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
829,36405,URN:catalog:CLO:EBIRD:OBS837182962,Ara militaris,2019-12-08,2019,12,8,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
